EmployeeId,AttendanceDate,CheckIn,CheckOut
MAHK,01/06/2017,09:17:29,18:03:11
MAHK,02/06/2017,00:00,00:00
MAHK,03/06/2017,00:00,00:00
MAHK,04/06/2017,00:00,00:00
MAHK,05/06/2017,09:09:59,19:50:14
MAHK,06/06/2017,09:12:13,19:55:23
MAHK,07/06/2017,09:16:33,00:00
MAHK,08/06/2017,09:18:20,18:06:39
MAHK,09/06/2017,09:06:56,19:53:38
MAHK,10/06/2017,00:00,00:00
MAHK,11/06/2017,00:00,00:00
MAHK,12/06/2017,09:15:15,18:42:05
MAHK,13/06/2017,09:12:51,19:39:35
MAHK,14/06/2017,09:05:57,19:36:31
MAHK,15/06/2017,09:06:55,18:12:51
MAHK,16/06/2017,09:11:07,20:14:06
MAHK,17/06/2017,00:00,00:00
MAHK,18/06/2017,00:00,00:00
MAHK,19/06/2017,08:59:12,18:57:21
MAHK,20/06/2017,09:02:56,20:01:22
MAHK,21/06/2017,09:11:38,18:06:18
MAHK,22/06/2017,09:12:07,19:21:12
MAHK,23/06/2017,09:09:43,19:42:18
MAHK,24/06/2017,00:00,00:00
MAHK,25/06/2017,00:00,00:00
MAHK,26/06/2017,00:00,00:00
MAHK,27/06/2017,09:24:21,19:08:52
MAHK,28/06/2017,09:18:34,19:01:12
MAHK,29/06/2017,09:06:41,19:40:30
MAHK,30/06/2017,09:09:22,19:16:18
SHBR,01/06/2017,15:26:36,22:15:48
SHBR,02/06/2017,20:03:10,00:00
SHBR,03/06/2017,00:00,00:00
SHBR,04/06/2017,00:00,00:00
SHBR,05/06/2017,15:13:51,23:37:07
SHBR,06/06/2017,15:03:17,23:36:46
SHBR,07/06/2017,14:56:17,23:49:07
SHBR,08/06/2017,15:03:41,23:34:59
SHBR,09/06/2017,14:54:40,00:00
SHBR,10/06/2017,00:00,00:00
SHBR,11/06/2017,00:00,00:00
SHBR,12/06/2017,14:59:09,23:36:13
SHBR,13/06/2017,14:53:16,23:31:00
SHBR,14/06/2017,14:28:00,23:40:17
SHBR,15/06/2017,15:08:28,23:37:01
SHBR,16/06/2017,15:25:02,23:37:41
SHBR,17/06/2017,00:00,00:00
SHBR,18/06/2017,00:00,00:00
SHBR,19/06/2017,15:12:57,23:35:13
SHBR,20/06/2017,15:17:32,23:36:16
SHBR,21/06/2017,14:48:44,23:41:55
SHBR,22/06/2017,15:03:45,23:51:55
SHBR,23/06/2017,14:55:24,23:40:55
SHBR,24/06/2017,00:00,00:00
SHBR,25/06/2017,00:00,00:00
SHBR,26/06/2017,00:00,00:00
SHBR,27/06/2017,14:33:12,23:38:15
SHBR,28/06/2017,00:00,00:00
SHBR,29/06/2017,00:00,00:00
SHBR,30/06/2017,00:00,00:00
MANJ,01/06/2017,13:44:50,22:15:11
MANJ,02/06/2017,06:55:26,00:00
MANJ,03/06/2017,00:00,00:00
MANJ,04/06/2017,00:00,00:00
MANJ,05/06/2017,09:08:14,20:33:56
MANJ,06/06/2017,09:01:34,22:06:04
MANJ,07/06/2017,07:21:06,21:43:55
MANJ,08/06/2017,06:51:21,15:56:19
MANJ,09/06/2017,08:26:19,16:13:15
MANJ,10/06/2017,00:00,00:00
MANJ,11/06/2017,00:00,00:00
MANJ,12/06/2017,08:20:44,22:58:03
MANJ,13/06/2017,07:45:21,22:26:57
MANJ,14/06/2017,09:23:02,22:02:07
MANJ,15/06/2017,10:38:09,19:49:32
MANJ,16/06/2017,10:41:48,17:15:47
MANJ,17/06/2017,00:00,00:00
MANJ,18/06/2017,00:00,00:00
MANJ,19/06/2017,11:13:35,22:24:34
MANJ,20/06/2017,08:39:28,22:43:24
MANJ,21/06/2017,08:05:11,00:00
MANJ,22/06/2017,10:16:01,22:34:09
MANJ,23/06/2017,08:38:42,00:00
MANJ,24/06/2017,00:00,00:00
MANJ,25/06/2017,00:00,00:00
MANJ,26/06/2017,22:53:29,00:00
MANJ,27/06/2017,09:39:34,15:16:03
MANJ,28/06/2017,00:00,00:00
MANJ,29/06/2017,00:00,00:00
MANJ,30/06/2017,07:24:54,21:05:58
LAKS,01/06/2017,13:51:41,22:02:59
LAKS,02/06/2017,00:00,00:00
LAKS,03/06/2017,00:00,00:00
LAKS,04/06/2017,00:00,00:00
LAKS,05/06/2017,13:43:16,22:36:51
LAKS,06/06/2017,13:58:21,22:40:00
LAKS,07/06/2017,13:43:39,22:36:23
LAKS,08/06/2017,13:45:19,22:40:58
LAKS,09/06/2017,13:35:47,22:46:08
LAKS,10/06/2017,00:00,00:00
LAKS,11/06/2017,00:00,00:00
LAKS,12/06/2017,13:49:17,22:34:17
LAKS,13/06/2017,13:30:02,22:37:23
LAKS,14/06/2017,13:43:36,22:33:14
LAKS,15/06/2017,13:52:27,22:36:39
LAKS,16/06/2017,13:55:07,22:38:05
LAKS,17/06/2017,00:00,00:00
LAKS,18/06/2017,00:00,00:00
LAKS,19/06/2017,13:43:46,22:31:03
LAKS,20/06/2017,13:41:40,22:38:34
LAKS,21/06/2017,13:55:10,22:44:39
LAKS,22/06/2017,13:42:37,22:34:15
LAKS,23/06/2017,13:45:42,22:37:30
LAKS,24/06/2017,00:00,00:00
LAKS,25/06/2017,00:00,00:00
LAKS,26/06/2017,13:56:38,22:43:42
LAKS,27/06/2017,13:39:48,22:42:05
LAKS,28/06/2017,13:40:10,22:35:53
LAKS,29/06/2017,13:45:05,22:45:59
LAKS,30/06/2017,13:43:33,22:39:08
RAMR,01/06/2017,10:50:27,19:23:31
RAMR,02/06/2017,00:00,00:00
RAMR,03/06/2017,00:00,00:00
RAMR,04/06/2017,00:00,00:00
RAMR,05/06/2017,10:48:26,19:48:43
RAMR,06/06/2017,10:43:50,19:44:24
RAMR,07/06/2017,10:42:27,19:45:26
RAMR,08/06/2017,10:39:36,19:41:51
RAMR,09/06/2017,10:44:49,19:48:50
RAMR,10/06/2017,00:00,00:00
RAMR,11/06/2017,00:00,00:00
RAMR,12/06/2017,10:41:22,19:38:16
RAMR,13/06/2017,10:40:24,19:36:29
RAMR,14/06/2017,10:52:43,19:46:19
RAMR,15/06/2017,10:51:03,19:42:03
RAMR,16/06/2017,10:43:21,19:50:54
RAMR,17/06/2017,00:00,00:00
RAMR,18/06/2017,00:00,00:00
RAMR,19/06/2017,10:49:18,19:49:48
RAMR,20/06/2017,10:41:45,19:51:57
RAMR,21/06/2017,10:41:18,19:48:20
RAMR,22/06/2017,10:39:35,19:44:03
RAMR,23/06/2017,10:42:32,19:56:04
RAMR,24/06/2017,00:00,00:00
RAMR,25/06/2017,00:00,00:00
RAMR,26/06/2017,00:00,00:00
RAMR,27/06/2017,10:52:28,19:53:29
RAMR,28/06/2017,10:43:31,19:45:21
RAMR,29/06/2017,10:40:25,19:42:25
RAMR,30/06/2017,10:46:58,19:44:05
ARKU,01/06/2017,00:00,00:00
ARKU,02/06/2017,00:00,00:00
ARKU,03/06/2017,00:00,00:00
ARKU,04/06/2017,00:00,00:00
ARKU,05/06/2017,09:37:33,20:57:46
ARKU,06/06/2017,08:50:56,17:48:00
ARKU,07/06/2017,10:04:38,19:05:12
ARKU,08/06/2017,18:31:53,00:00
ARKU,09/06/2017,00:00,00:00
ARKU,10/06/2017,00:00,00:00
ARKU,11/06/2017,00:00,00:00
ARKU,12/06/2017,09:17:19,19:19:01
ARKU,13/06/2017,08:49:09,18:28:16
ARKU,14/06/2017,08:59:50,17:56:19
ARKU,15/06/2017,21:04:55,00:00
ARKU,16/06/2017,10:20:12,19:06:55
ARKU,17/06/2017,00:00,00:00
ARKU,18/06/2017,00:00,00:00
ARKU,19/06/2017,09:26:39,19:06:05
ARKU,20/06/2017,10:07:02,19:18:48
ARKU,21/06/2017,10:16:55,19:19:11
ARKU,22/06/2017,10:13:17,19:53:51
ARKU,23/06/2017,10:21:33,18:52:34
ARKU,24/06/2017,00:00,00:00
ARKU,25/06/2017,00:00,00:00
ARKU,26/06/2017,00:00,00:00
ARKU,27/06/2017,09:36:29,18:42:56
ARKU,28/06/2017,09:55:44,19:24:26
ARKU,29/06/2017,09:45:01,18:55:30
ARKU,30/06/2017,11:04:08,19:34:56
MOAM,01/06/2017,12:26:00,22:15:29
MOAM,02/06/2017,00:00,00:00
MOAM,03/06/2017,00:00,00:00
MOAM,04/06/2017,00:00,00:00
MOAM,05/06/2017,23:28:26,00:00
MOAM,06/06/2017,13:47:09,23:33:47
MOAM,07/06/2017,12:49:52,00:00
MOAM,08/06/2017,14:06:58,23:32:02
MOAM,09/06/2017,14:21:17,23:34:08
MOAM,10/06/2017,00:00,00:00
MOAM,11/06/2017,00:00,00:00
MOAM,12/06/2017,13:58:26,22:02:13
MOAM,13/06/2017,13:44:51,23:29:34
MOAM,14/06/2017,14:02:30,23:33:54
MOAM,15/06/2017,14:26:30,23:26:36
MOAM,16/06/2017,15:45:22,23:32:24
MOAM,17/06/2017,00:00,00:00
MOAM,18/06/2017,00:00,00:00
MOAM,19/06/2017,14:26:46,23:33:18
MOAM,20/06/2017,14:28:59,23:32:32
MOAM,21/06/2017,14:30:41,23:34:03
MOAM,22/06/2017,13:51:08,18:23:31
MOAM,23/06/2017,11:52:43,23:55:46
MOAM,24/06/2017,00:00,00:00
MOAM,25/06/2017,00:00,00:00
MOAM,26/06/2017,00:00,00:00
MOAM,27/06/2017,14:33:06,23:32:43
MOAM,28/06/2017,13:57:20,23:39:48
MOAM,29/06/2017,14:28:52,23:31:32
MOAM,30/06/2017,14:25:40,23:41:00
SWAR,01/06/2017,10:12:26,17:33:06
SWAR,02/06/2017,00:00,00:00
SWAR,03/06/2017,00:00,00:00
SWAR,04/06/2017,00:00,00:00
SWAR,05/06/2017,09:52:40,18:00:04
SWAR,06/06/2017,09:16:38,20:29:01
SWAR,07/06/2017,10:14:10,20:35:02
SWAR,08/06/2017,09:25:36,14:43:32
